ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,GenZ social media_7d_avg,GenZ social media_7d_avg_lower,GenZ social media_7d_avg_upper,GenZ social media_growth,GenZ social media_growth_lower,GenZ social media_growth_upper,GenZ social media_momentum,GenZ social media_momentum_lower,GenZ social media_momentum_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-08-23,0.0881776,0.32002207966628343,0.49409790814220705,0.0881776,0.0881776,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.3186152142450963,0.3186152142450963,0.3186152142450963,0.35012421698318974,0.35012421698318974,0.35012421698318974,-0.03150900273809339,-0.03150900273809339,-0.03150900273809339,0.0,0.0,0.0,0.4067928142450963
2025-08-24,0.08867888586956521,0.3724972654454927,0.5504188752735595,0.08867888586956521,0.08867888586956521,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.3747982384786375,0.3747982384786375,0.3747982384786375,0.35012421698318974,0.35012421698318974,0.35012421698318974,0.024674021495447798,0.024674021495447798,0.024674021495447798,0.0,0.0,0.0,0.46347712434820276
2025-08-25,0.08918017173913043,0.38569629162126756,0.5604856985244212,0.08918017173913043,0.08918017173913043,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.38065004569553634,0.38065004569553634,0.38065004569553634,0.35012421698318974,0.35012421698318974,0.35012421698318974,0.030525828712346628,0.030525828712346628,0.030525828712346628,0.0,0.0,0.0,0.4698302174346668
2025-08-26,0.08968145760869566,0.3720094429098101,0.5324065303856277,0.08968145760869566,0.08968145760869566,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.365357908589647,0.365357908589647,0.365357908589647,0.35012421698318974,0.35012421698318974,0.35012421698318974,0.015233691606457295,0.015233691606457295,0.015233691606457295,0.0,0.0,0.0,0.4550393661983427
2025-08-27,0.09018274348211607,0.3534821655837701,0.523874364681114,0.09018274348211607,0.09018274348211607,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.3477059205385201,0.3477059205385201,0.3477059205385201,0.35012421698318974,0.35012421698318974,0.35012421698318974,-0.002418296444669576,-0.002418296444669576,-0.002418296444669576,0.0,0.0,0.0,0.4378886640206362
2025-08-28,0.09068402935553647,0.3514134403147481,0.5154725669739612,0.09068402935553647,0.09068402935553647,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.34114345698316684,0.34114345698316684,0.34114345698316684,0.35012421698318974,0.35012421698318974,0.35012421698318974,-0.008980760000022877,-0.008980760000022877,-0.008980760000022877,0.0,0.0,0.0,0.4318274863387033
2025-08-29,0.09118531522895688,0.33249682317327667,0.49401206380295387,0.09118531522895688,0.09118531522895688,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.32259873435152253,0.32259873435152253,0.32259873435152253,0.35012421698318974,0.35012421698318974,0.35012421698318974,-0.02752548263166721,-0.02752548263166721,-0.02752548263166721,0.0,0.0,0.0,0.41378404958047943
2025-08-30,0.09168660110620983,0.32145208404927805,0.4993868014060629,0.09168660110620983,0.09168660110620983,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.318615214245116,0.318615214245116,0.318615214245116,0.35012421698318974,0.35012421698318974,0.35012421698318974,-0.031509002738073694,-0.031509002738073694,-0.031509002738073694,0.0,0.0,0.0,0.4103018153513258
2025-08-31,0.09218788698346278,0.38064497770970374,0.5531036017613679,0.09218788698346278,0.09218788698346278,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.3747982384786688,0.3747982384786688,0.3747982384786688,0.35012421698318974,0.35012421698318974,0.35012421698318974,0.02467402149547906,0.02467402149547906,0.02467402149547906,0.0,0.0,0.0,0.4669861254621316
2025-09-01,0.09268917286071574,0.3897372541885832,0.5642060407931129,0.09268917286071574,0.09268917286071574,0.48637375935642996,0.48637375935642996,0.48637375935642996,-0.0010239878590236435,-0.0010239878590236435,-0.0010239878590236435,-0.13522555451421658,-0.13522555451421658,-0.13522555451421658,0.3806500456955505,0.3806500456955505,0.3806500456955505,0.35012421698318974,0.35012421698318974,0.35012421698318974,0.030525828712360755,0.030525828712360755,0.030525828712360755,0.0,0.0,0.0,0.47333921855626626
