ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,GenZ lifestyle_7d_avg,GenZ lifestyle_7d_avg_lower,GenZ lifestyle_7d_avg_upper,GenZ lifestyle_growth,GenZ lifestyle_growth_lower,GenZ lifestyle_growth_upper,GenZ lifestyle_momentum,GenZ lifestyle_momentum_lower,GenZ lifestyle_momentum_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-08-23,0.0220282,0.028027338496261905,0.20318731257561173,0.0220282,0.0220282,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.08832645536031052,0.08832645536031052,0.08832645536031052,0.09568676884126658,0.09568676884126658,0.09568676884126658,-0.007360313480956067,-0.007360313480956067,-0.007360313480956067,0.0,0.0,0.0,0.11035465536031051
2025-08-24,0.02219298043478261,-0.00419524097815462,0.1695919512575842,0.02219298043478261,0.02219298043478261,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.06401258605900911,0.06401258605900911,0.06401258605900911,0.09568676884126658,0.09568676884126658,0.09568676884126658,-0.03167418278225746,-0.03167418278225746,-0.03167418278225746,0.0,0.0,0.0,0.08620556649379173
2025-08-25,0.02235776086956522,0.009093566948360013,0.18026596420913035,0.02235776086956522,0.02235776086956522,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.07163187509692187,0.07163187509692187,0.07163187509692187,0.09568676884126658,0.09568676884126658,0.09568676884126658,-0.024054893744344705,-0.024054893744344705,-0.024054893744344705,0.0,0.0,0.0,0.09398963596648709
2025-08-26,0.02252254130434783,0.034938053077520535,0.19972467534505017,0.02252254130434783,0.02252254130434783,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.09583121011191537,0.09583121011191537,0.09583121011191537,0.09568676884126658,0.09568676884126658,0.09568676884126658,0.00014444127064878933,0.00014444127064878933,0.00014444127064878933,0.0,0.0,0.0,0.1183537514162632
2025-08-27,0.02268732173936736,0.025642577891606573,0.1920393864122305,0.02268732173936736,0.02268732173936736,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.08799493495390344,0.08799493495390344,0.08799493495390344,0.09568676884126658,0.09568676884126658,0.09568676884126658,-0.007691833887363137,-0.007691833887363137,-0.007691833887363137,0.0,0.0,0.0,0.1106822566932708
2025-08-28,0.022852102174386886,0.061016870297904736,0.2342749281978134,0.022852102174386886,0.022852102174386886,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.12776005884130429,0.12776005884130429,0.12776005884130429,0.09568676884126658,0.09568676884126658,0.09568676884126658,0.03207329000003771,0.03207329000003771,0.03207329000003771,0.0,0.0,0.0,0.15061216101569116
2025-08-29,0.023016882609406417,0.07484015740848149,0.2399871886189972,0.023016882609406417,0.023016882609406417,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.13425026146560465,0.13425026146560465,0.13425026146560465,0.09568676884126658,0.09568676884126658,0.09568676884126658,0.038563492624338065,0.038563492624338065,0.038563492624338065,0.0,0.0,0.0,0.15726714407501108
2025-08-30,0.023181663043181065,0.02857501597684038,0.19856967377312065,0.023181663043181065,0.023181663043181065,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.08832645536026154,0.08832645536026154,0.08832645536026154,0.09568676884126658,0.09568676884126658,0.09568676884126658,-0.007360313481005043,-0.007360313481005043,-0.007360313481005043,0.0,0.0,0.0,0.1115081184034426
2025-08-31,0.023346443476955712,0.0060037021264626456,0.17914752588689892,0.023346443476955712,0.023346443476955712,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.06401258605898257,0.06401258605898257,0.06401258605898257,0.09568676884126658,0.09568676884126658,0.09568676884126658,-0.03167418278228401,-0.03167418278228401,-0.03167418278228401,0.0,0.0,0.0,0.08735902953593827
2025-09-01,0.023511223910730364,0.009926690022318087,0.17298900105612183,0.023511223910730364,0.023511223910730364,0.0935311629979843,0.0935311629979843,0.0935311629979843,0.006665148954758572,0.006665148954758572,0.006665148954758572,-0.004509543111476284,-0.004509543111476284,-0.004509543111476284,0.07163187509691991,0.07163187509691991,0.07163187509691991,0.09568676884126658,0.09568676884126658,0.09568676884126658,-0.024054893744346665,-0.024054893744346665,-0.024054893744346665,0.0,0.0,0.0,0.09514309900765028
