ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,GenZ tech_7d_avg,GenZ tech_7d_avg_lower,GenZ tech_7d_avg_upper,GenZ tech_growth,GenZ tech_growth_lower,GenZ tech_growth_upper,GenZ tech_momentum,GenZ tech_momentum_lower,GenZ tech_momentum_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-08-23,0.0172978,-0.11662880589716412,0.05488409313289681,0.0172978,0.0172978,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,-0.041635622735842426,-0.041635622735842426,-0.041635622735842426,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,-0.012157434689867807,-0.012157434689867807,-0.012157434689867807,0.0,0.0,0.0,-0.024337822735842427
2025-08-24,0.01722142554347826,-0.10087344705121003,0.055120453448192976,0.01722142554347826,0.01722142554347826,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,-0.03873207833746005,-0.03873207833746005,-0.03873207833746005,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,-0.009253890291485429,-0.009253890291485429,-0.009253890291485429,0.0,0.0,0.0,-0.021510652793981788
2025-08-25,0.01714505108695652,-0.10241857262889627,0.0589623145887342,0.01714505108695652,0.01714505108695652,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,-0.03723705666556055,-0.03723705666556055,-0.03723705666556055,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,-0.007758868619585923,-0.007758868619585923,-0.007758868619585923,0.0,0.0,0.0,-0.02009200557860403
2025-08-26,0.017068676630434782,-0.09734499970455213,0.06990694162518256,0.017068676630434782,0.017068676630434782,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,-0.036850724048997294,-0.036850724048997294,-0.036850724048997294,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,-0.007372536003022675,-0.007372536003022675,-0.007372536003022675,0.0,0.0,0.0,-0.01978204741856251
2025-08-27,0.016992302174710178,-0.10966398402581087,0.05709948499398722,0.016992302174710178,0.016992302174710178,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,-0.041989372111458444,-0.041989372111458444,-0.041989372111458444,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,-0.012511184065483821,-0.012511184065483821,-0.012511184065483821,0.0,0.0,0.0,-0.024997069936748266
2025-08-28,0.01691592771898557,-0.11066874705017447,0.06201237027022369,0.01691592771898557,0.01691592771898557,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,-0.04348806804591714,-0.04348806804591714,-0.04348806804591714,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,-0.014009879999942524,-0.014009879999942524,-0.014009879999942524,0.0,0.0,0.0,-0.026572140326931573
2025-08-29,0.016839553263260962,-0.026298418479021653,0.13699204889474387,0.016839553263260962,0.016839553263260962,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,0.0335856056234489,0.0335856056234489,0.0335856056234489,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,0.06306379366942352,0.06306379366942352,0.06306379366942352,0.0,0.0,0.0,0.05042515888670986
2025-08-30,0.016763178811985323,-0.10188940987830143,0.06157669121025537,0.016763178811985323,0.016763178811985323,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,-0.041635622735865886,-0.041635622735865886,-0.041635622735865886,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,-0.01215743468989127,-0.01215743468989127,-0.01215743468989127,0.0,0.0,0.0,-0.024872443923880563
2025-08-31,0.016686804360709684,-0.10510538618178669,0.05928260516358127,0.016686804360709684,0.016686804360709684,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,-0.038732078337365694,-0.038732078337365694,-0.038732078337365694,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,-0.009253890291391073,-0.009253890291391073,-0.009253890291391073,0.0,0.0,0.0,-0.02204527397665601
2025-09-01,0.016610429909434045,-0.10107590668043681,0.062289471741006866,0.016610429909434045,0.016610429909434045,-0.001807099524725968,-0.001807099524725968,-0.001807099524725968,0.0004911909135651357,0.0004911909135651357,0.0004911909135651357,-0.028162279434813788,-0.028162279434813788,-0.028162279434813788,-0.037237056665354165,-0.037237056665354165,-0.037237056665354165,-0.02947818804597462,-0.02947818804597462,-0.02947818804597462,-0.007758868619379547,-0.007758868619379547,-0.007758868619379547,0.0,0.0,0.0,-0.02062662675592012
