ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,GenZ fashion_7d_avg,GenZ fashion_7d_avg_lower,GenZ fashion_7d_avg_upper,GenZ fashion_growth,GenZ fashion_growth_lower,GenZ fashion_growth_upper,GenZ fashion_momentum,GenZ fashion_momentum_lower,GenZ fashion_momentum_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-08-23,0.0933652,0.4863416609635894,0.5993893366719522,0.0933652,0.0933652,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.44825078118889367,0.44825078118889367,0.44825078118889367,0.4747806206751355,0.4747806206751355,0.4747806206751355,-0.02652983948624181,-0.02652983948624181,-0.02652983948624181,0.0,0.0,0.0,0.5416159811888936
2025-08-24,0.093620475,0.5238573336827249,0.6377876175396525,0.093620475,0.093620475,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.4873562767649405,0.4873562767649405,0.4873562767649405,0.4747806206751355,0.4747806206751355,0.4747806206751355,0.012575656089804967,0.012575656089804967,0.012575656089804967,0.0,0.0,0.0,0.5809767517649405
2025-08-25,0.09387575,0.5263549926879209,0.6366546957830433,0.09387575,0.09387575,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.4894001005149938,0.4894001005149938,0.4894001005149938,0.4747806206751355,0.4747806206751355,0.4747806206751355,0.014619479839858293,0.014619479839858293,0.014619479839858293,0.0,0.0,0.0,0.5832758505149938
2025-08-26,0.094131025,0.5182785505841919,0.6288603425427536,0.094131025,0.094131025,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.4787586770386271,0.4787586770386271,0.4787586770386271,0.4747806206751355,0.4747806206751355,0.4747806206751355,0.003978056363491611,0.003978056363491611,0.003978056363491611,0.0,0.0,0.0,0.5728897020386271
2025-08-27,0.0943863000002123,0.5198541286167188,0.6344397694150631,0.0943863000002123,0.0943863000002123,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.4804667300826034,0.4804667300826034,0.4804667300826034,0.4747806206751355,0.4747806206751355,0.4747806206751355,0.00568610940746791,0.00568610940746791,0.00568610940746791,0.0,0.0,0.0,0.5748530300828156
2025-08-28,0.0946415750004246,0.5143768089169718,0.6302071564131997,0.0946415750004246,0.0946415750004246,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.47479973067512,0.47479973067512,0.47479973067512,0.4747806206751355,0.4747806206751355,0.4747806206751355,1.9109999984494308e-05,1.9109999984494308e-05,1.9109999984494308e-05,0.0,0.0,0.0,0.5694413056755446
2025-08-29,0.09489685000063688,0.50062517140122,0.6139805364483948,0.09489685000063688,0.09489685000063688,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.46443204846060215,0.46443204846060215,0.46443204846060215,0.4747806206751355,0.4747806206751355,0.4747806206751355,-0.010348572214533305,-0.010348572214533305,-0.010348572214533305,0.0,0.0,0.0,0.559328898461239
2025-08-30,0.09515212500165814,0.49028819564907355,0.6011787039174771,0.09515212500165814,0.09515212500165814,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.44825078118890765,0.44825078118890765,0.44825078118890765,0.4747806206751355,0.4747806206751355,0.4747806206751355,-0.02652983948622785,-0.02652983948622785,-0.02652983948622785,0.0,0.0,0.0,0.5434029061905657
2025-08-31,0.09540740000267937,0.5205957323396511,0.6396564895595633,0.09540740000267937,0.09540740000267937,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.4873562767649803,0.4873562767649803,0.4873562767649803,0.4747806206751355,0.4747806206751355,0.4747806206751355,0.012575656089844815,0.012575656089844815,0.012575656089844815,0.0,0.0,0.0,0.5827636767676596
2025-09-01,0.09566267500370061,0.529659394440798,0.6399910645272308,0.09566267500370061,0.09566267500370061,0.5171524021728153,0.5171524021728153,0.5171524021728153,0.0554584769832643,0.0554584769832643,0.0554584769832643,-0.09783025848094414,-0.09783025848094414,-0.09783025848094414,0.4894001005150358,0.4894001005150358,0.4894001005150358,0.4747806206751355,0.4747806206751355,0.4747806206751355,0.01461947983990031,0.01461947983990031,0.01461947983990031,0.0,0.0,0.0,0.5850627755187364
